offset_days,day_index,calendar,total_delta_v_km_s,saving_percent,earth_speed_km_s,r1_au
-40,141,2026-05-22,16.409645782832357,1.813075060027215,29.429031854442616,1.012179736861608
-39,142,2026-05-23,16.405479136101693,1.8139078831468478,29.42066250242109,1.0123646733395113
-38,143,2026-05-24,16.401371348756726,1.8147294358928245,29.41242862729464,1.0125458702372208
-37,144,2026-05-25,16.39741582005609,1.8155210011860357,29.40445007443208,1.0127235815473872
-36,145,2026-05-26,16.393686280273567,1.8162677596875334,29.396821217608707,1.0128980286097347
-35,146,2026-05-27,16.39023971447415,1.8169582190642326,29.38961487373248,1.0130693954252628
-34,147,2026-05-28,16.38711941606812,1.8175836149945037,29.38288634954481,1.0132378268765496
-33,148,2026-05-29,16.384357310055435,1.818137455859813,29.376676505734178,1.0134034282537325
-32,149,2026-05-30,16.381975386684758,1.8186152434265888,29.371013639661015,1.0135662652339132
-31,150,2026-05-31,16.379986462369796,1.8190143264920116,29.365914477734968,1.0137263640234642
-30,151,2026-06-01,16.378394607915112,1.8193338195560274,29.361384727494734,1.013883711683912
-29,152,2026-06-02,16.377195532438606,1.819574528759241,29.357419570023914,1.0140382567467496
-28,153,2026-06-03,16.376377053961342,1.819738858859722,29.35400426583284,1.01418991014784
-27,154,2026-06-04,16.37591959090231,1.819830714570102,29.351114788499007,1.0143385463667345
-26,155,2026-06-05,16.37579643464821,1.819855444616258,29.34871817114779,1.0144840045333905
-25,156,2026-06-06,16.3759734605696,1.8198198975618105,29.346772114689657,1.014626089245461
-24,157,2026-06-07,16.376407936816314,1.8197326579963968,29.34522340722019,1.0147645709834756
-23,158,2026-06-08,16.377046230173068,1.8196045034790895,29.344004884547722,1.014899186357565
-22,159,2026-06-09,16.37782054289536,1.8194490553848628,29.343031097159898,1.015029638984269
-21,160,2026-06-10,16.378645426382977,1.8192834741417947,29.342193648769836,1.015155602540786
-20,161,2026-06-11,16.379415741053123,1.8191288645820338,29.341358383498218,1.0152767283085997
-19,162,2026-06-12,16.380008744474768,1.8190098548879847,29.34036793444042,1.015392659867513
-18,163,2026-06-13,16.380293325519418,1.8189527460391564,29.339053602391008,1.0155030567886896
-17,164,2026-06-14,16.380147789319036,1.8189819515011005,29.33725843780741,1.015607626454305
-16,165,2026-06-15,16.379483317993753,1.8191153020664002,29.334867798976333,1.0157061586802227
-15,166,2026-06-16,16.37826504295838,1.8193598271375724,29.33183685028184,1.0157985537304546
-14,167,2026-06-17,16.376521030407076,1.8197099505569294,29.32820230377524,1.0158848340215505
-13,168,2026-06-18,16.374334519648613,1.8201490341763087,29.324072295467996,1.0159651350626246
-12,169,2026-06-19,16.371823490154362,1.8206534581186484,29.319599730640206,1.0160396793079327
-11,170,2026-06-20,16.369117117646216,1.8211973293749155,29.314951611990743,1.0161087423050328
-10,171,2026-06-21,16.366337480039537,1.8217561466583998,29.31028527966392,1.016172620757063
-9,172,2026-06-22,16.36358978416312,1.8223087642663076,29.30573581470215,1.0162316082789518
-8,173,2026-06-23,16.360959947566887,1.8228378846407027,29.301413049680775,1.0162859801199322
-7,174,2026-06-24,16.35851656689329,1.8233296714809,29.29740428302296,1.0163359852123977
-6,175,2026-06-25,16.356314530221244,1.8237730318363354,29.293779104162,1.0163818429152405
-5,176,2026-06-26,16.354398506936064,1.8241589213593414,29.290594024151837,1.016423742056624
-4,177,2026-06-27,16.352805469314063,1.8244798429352338,29.28789581466474,1.0164618405953434
-3,178,2026-06-28,16.351566020017714,1.8247295845890494,29.285723268965754,1.0164962649652047
-2,179,2026-06-29,16.350704653074462,1.8249031713798496,29.284107558573332,1.0165271087633903
-1,180,2026-06-30,16.350239250835983,1.8249969705040494,29.283071585899563,1.016554430851861
0,181,2026-07-01,16.350180173660636,1.8250088776198623,29.282628802372642,1.0165782531653922
1,182,2026-07-02,16.350529253765373,1.824938521349707,29.28278190086659,1.0165985585798916
2,183,2026-07-03,16.351278872695254,1.824787449479424,29.283521617112168,1.0166152891248976
3,184,2026-07-04,16.352411114037967,1.8245592982989618,29.284825627261043,1.0166283446866136
4,185,2026-07-05,16.353896798188405,1.8242599838822253,29.286657284857533,1.0166375822318696
5,186,2026-07-06,16.355694103828473,1.8238979747421546,29.28896380457483,1.0166428155915403
