method,steps_per_period,dt,relative_position_error,final_velocity_error
verlet,250,0.004,0.0013226162147049994,0.008309914229672269
verlet,500,0.002,0.0003307137114192921,0.0020779150168543617
verlet,1000,0.001,8.268216003968546e-05,0.0005195060512090099
verlet,2000,0.0005,2.0670773331493e-05,0.00012987821912965089
verlet,4000,0.00025,5.167707858058983e-06,3.2469661058691074e-05
rk4,250,0.004,6.569360570981631e-08,4.1265519361685807e-07
rk4,500,0.002,3.84832554484525e-09,2.41779117116371e-08
rk4,1000,0.001,2.3244820733416307e-10,1.460478197753576e-09
rk4,2000,0.0005,1.4349947018082928e-11,9.01391090275442e-11
rk4,4000,0.00025,9.047948855472805e-13,5.709360708862948e-12
